UTS #,Stop #,Latitude,Longitude,Routes
1,11730,38.037115135347000,-78.497970253229100,OL
2,11822,38.037237662529800,-78.497950136661500,IL
3,11724,38.034049776528600,-78.499819636344900,IL
4,11711,38.034043438644900,-78.499465584754900,OL
5,11912,38.035535995120400,-78.505332916975000,"N, OL"
6,12236,38.036033507186600,-78.514201641082700,"CG, CS"
8,10687,38.029071199887900,-78.516354113817200,IL
9,11619,38.029262405450900,-78.516462743282300,"N, OL, SH"
10,11965,38.042624430867900,-78.511829227209000,CS
12,11592,38.033980059777400,-78.514266014099100,"N, OL"
13,11234,38.033825837637500,-78.514088988304100,IL
14,11867,38.028402504685300,-78.520252704620300,IL
15,12121,38.050210652312700,-78.507180958986200,N
16,12166,38.049176741905900,-78.506106734275800,N
18,10504,38.040395835553100,-78.501398116350100,IL
19,12262,38.040262751411900,-78.501293510198600,"OL, NC"
20N,10558,38.033802598656800,-78.507469296455300,"N, OL"
21,10641,38.033122327044500,-78.505913615226700,OL
22,16861,38.032994511331600,-78.506187200546200,IL
23,11155,38.032495800000000,-78.504982500000000,"Il, G, SH"
24,11782,38.034172308839600,-78.511688411235800,"N, IL, CG, CS"
25,11920,38.033713867935200,-78.507367372512800,"N, IL, CG"
26,11814,38.034364557397200,-78.506171107292100,"N, OL"
27,12109,38.049472448109700,-78.508569002151400,CG
28,12317,38.049552711016100,-78.508810400962800,CG
29,12329,38.046580812605700,-78.509641885757400,CG
30,12338,38.046544904069200,-78.509537279605800,CG
31,10493,38.047970670660800,-78.508153259754100,CG
32,12301,38.048912717500200,-78.507960140705100,CG
33,12132,38.051900362094600,-78.509501069784100,N
34,12006,38.050724961856800,-78.510572612285600,CG
35,11996,38.051789476086000,-78.512970507144900,N
36,10570,38.038095347069600,-78.507383465766900,G
37,10472,38.036263777020100,-78.507852852344500,G
38,10660,38.038262235258400,-78.507142066955500,G
39,16717,38.041378115781000,-78.507614135742100,"N, CG, G"
40,11949,38.041369666114700,-78.509142994880600,"N, CG, CS, G"
41,11769,38.031955076094800,-78.511778265237800,IL
42,11603,38.031729018104900,-78.511563688516600,OL
43,10354,38.048395226902900,-78.512849807739200,N
44,11983,38.048327636024200,-78.512420654296800,N
45,11954,38.042763847846600,-78.511626720428400,CS
46,11802,38.034324417630200,-78.506007492542200,"N, IL, CG, CS"
47N,11931,38.034791305139400,-78.513150215148900,"N, IL, CG"
48,10656,38.038965696481900,-78.492872714996300,IL
49,10417,38.040140229290300,-78.496316671371400,"IL, OL"
50,12289,38.041183773211600,-78.499232232570600,IL
51,12291,38.041553446134700,-78.499827682971900,OL
53,11487,38.028642306036600,-78.509649932384400,"OL, SH"
54,11688,38.026355181897300,-78.513295054435700,"OL, SH"
55,11690,38.031981484693000,-78.503266274929000,"OL, SH"
56,11210,38.026517871146300,-78.513383567333200,IL
57,11164,38.028825061605400,-78.509835004806500,IL
58,11473,38.027561609163400,-78.511315584182700,"OL, SH"
59,11172,38.027578511681000,-78.511519432067800,IL
60,15096,38.031330774061000,-78.507885038852600,"OL, SH"
61,11140,38.031020205585300,-78.508351743221200,IL
62,11707,38.032505429312600,-78.500181734561900,OL
63,11193,38.032570922126500,-78.500436544418300,"IL, G, NC, SH"
74,14817,38.044956461775600,-78.506283760070800,N
H4,14801,38.033354718678400,-78.517827987670900,N
73,16370,38.042109008217800,-78.504838049411700,N
64,16698,38.031231476800400,-78.500742316246000,"G, SH"
65,12145,38.052019696373400,-78.510189056396400,N
66,16701,38.031744863313800,-78.498135209083500,"G, SH"
H2,10349,38.029784256768000,-78.520150780677800,N
67,11753,38.041711876816200,-78.492456972599000,"IL, OL, NC"
68,11748,38.040283875894900,-78.496075272560100,"IL, OL"
69,12150,38.044846621406900,-78.506251573562600,"N, CG, G"
88N,10396,38.034508215330600,-78.512061238288800,"N, OL"
71,11795,38.034379345726900,-78.511750102043100,"N, OL"
72,12204,38.055232144284600,-78.501297533512100,N
76,11851,38.026264329302300,-78.521733283996500,IL
78,16389,38.041078152033600,-78.506262302398600,"N, CG, G"
80,11879,38.029036339151400,-78.515751957893300,"IL, NC"
81,11880,38.029949051148500,-78.515537381172100,"OL, SH"
82,10401,38.028567302174000,-78.514748811721800,SH
83,16819,38.034983552072300,-78.508505970239600,G
84,16786,38.028567302174000,-78.514748811721800,SH
86,11635,38.028563076602000,-78.518171310424800,N
87,10694,38.034370895253200,-78.500492870807600,IL
70N,11898,38.033675840450200,-78.509274423122400,"N, IL, CG"
89,12215,38.044770577978200,-78.509499728679600,"N, G"
90,16842,38.045290206500200,-78.510388880968100,CG
91,16826,38.044010139347500,-78.510349988937300,"N, G"
92,16857,38.045833066504900,-78.508711159229200,"N, CG, G"
93,16343,38.039341718028200,-78.505956530570900,"N, CG, CS"
94,16358,38.038720647693500,-78.505731225013700,N
95,12243,38.042622318487400,-78.517719358205800,CS
96,12258,38.044589974518600,-78.515994697809200,CS
97,10429,38.052349184699200,-78.513874411582900,N
H1,10377,38.029137752157100,-78.519228100776600,N
98,11908,38.036172936713500,-78.504711985588000,"N, IL, CG, CS, NC"
99,10543,38.039574089928600,-78.491633534431400,"IL, OL"
H3,10486,38.035053267868300,-78.515628576278600,N
